COUNTRY,YEAR,SUICIDE RATE,GDP RATE,Schizophrenia (%),Anxiety disorders (%),Drug use disorders (%),Depression (%),Alcohol use disorders (%)
Libya,2015,5.5,4337.919139,0.195619,4.974983,2.582395,3.797078,0.683152
Libya,2016,5,4038.970683,0.194301,4.975948,2.597734,3.799836,0.681672
Liberia,2000,8.8,306.8328947,0.157018,2.865607,0.48562,3.507859,0.930472
Liberia,2005,8.3,294.8930368,0.159036,2.867731,0.499966,3.775619,0.932505
Liberia,2010,8.7,513.4456986,0.159472,2.867113,0.503278,3.765963,0.945747
Liberia,2015,7.7,710.3838577,0.160661,2.875233,0.510904,3.786835,0.949272
Liberia,2016,7.6,714.6233922,0.161041,2.878097,0.513762,3.793659,0.949899
Maldives,2000,5.3,2234.579866,0.228089,3.218499,0.608372,3.41267,0.737572
Maldives,2005,3.8,3639.966576,0.232746,3.260473,0.614673,3.337087,0.744852
Maldives,2010,3.1,7076.662423,0.237926,3.242653,0.648756,3.224627,0.796288
Maldives,2015,3,9033.390413,0.242883,3.18518,0.686627,3.127677,0.826247
Maldives,2016,3.2,9282.723553,0.243821,3.174837,0.692803,3.112616,0.830768
Nepal,2000,10.9,229.4902871,0.244992,3.763976,0.494809,3.691927,1.369167
Nepal,2005,10,315.80563,0.245201,3.796168,0.487936,3.696481,1.380974
Nepal,2010,10.5,592.4010975,0.244765,3.829059,0.491607,3.739465,1.495462
Nepal,2015,9.8,792.5528906,0.245631,3.864376,0.497888,3.672807,1.518993
Nepal,2016,9.7,777.1475955,0.24598,3.871915,0.500198,3.640557,1.523243
Newzeland,2000,12.4,13641.10272,0.338677,8.959512,2.120178,4.12433,1.449029
Newzeland,2005,12.5,27751.06547,0.340483,8.957271,2.171823,4.126753,1.460839
Newzeland,2010,12,33692.01083,0.341071,8.531124,2.03794,3.9871,1.77714
Newzeland,2015,11.1,38559.54704,0.34099,8.539694,2.040377,3.967735,2.075727
Newzeland,2016,11.5,40026.8522,0.341011,8.539988,2.04481,3.967684,2.134993
Netherlands,2000,8.1,26149.41108,0.373839,7.260957,0.950659,4.098514,0.811355
Netherlands,2005,8.3,41979.05585,0.375092,6.518189,0.941118,4.050149,0.724737
Netherlands,2010,8.1,50950.03434,0.374514,6.52252,0.925939,4.036617,0.72447
Netherlands,2015,9.3,45175.23189,0.365154,6.578979,0.961438,4.028566,0.754582
Netherlands,2016,9.3,46007.85292,0.361956,6.598856,0.974106,4.028952,0.76508
Oman,2000,6.7,8601.25417,0.197721,4.644605,1.375442,3.452868,0.650435
Oman,2005,6.2,12377.06807,0.199966,4.748083,1.324369,3.514061,0.652206
Oman,2010,6.1,19281.16563,0.202268,4.671075,1.539558,3.448564,0.679011
Oman,2015,4.7,16150.88726,0.202797,4.535895,1.70443,3.412646,0.691946
Oman,2016,4.5,14721.64733,0.202697,4.519805,1.727339,3.418318,0.692908
Pakistan,2000,11.1,519.5343268,0.254379,3.746136,0.647887,3.507516,1.422613
Pakistan,2005,11,683.0902351,0.255199,3.773923,0.664356,3.502285,1.448219
Pakistan,2010,10.2,988.7541283,0.256252,3.804879,0.683896,3.309059,1.496756
Pakistan,2015,10,1356.667731,0.256563,3.820925,0.669101,3.309776,1.525196
Pakistan,2016,10,1368.454326,0.256521,3.822465,0.662558,3.316397,1.529349
Portugal,2000,5.5,11502.39681,0.248369,5.351684,0.712897,4.663838,1.270691
Portugal,2005,7.9,18784.9485,0.248916,5.351409,0.706347,4.808875,1.293694
Portugal,2010,8.8,22538.65408,0.248717,5.371129,0.669327,4.774924,1.296311
Portugal,2015,8.3,19252.63495,0.249004,5.37913,0.690379,4.561403,1.276458
Portugal,2016,7.4,19977.39849,0.24916,5.380981,0.699273,4.494714,1.269966
Saudi Arabia,2000,3.8,9171.330145,0.200935,4.702724,1.39286,3.44986,0.647839
Saudi Arabia,2005,4.1,13791.44629,0.200935,4.702724,1.39286,3.44986,0.647839
Saudi Arabia,2010,5.7,19262.54768,0.203959,4.743569,1.573336,3.477639,0.674274
Saudi Arabia,2015,6,20627.93278,0.205256,4.751235,1.682436,3.510181,0.679555
Saudi Arabia,2016,5.9,19879.29753,0.205494,4.752859,1.697876,3.522628,0.679916
Sri Lanka,2000,27.4,869.6965166,0.224986,3.295109,0.665437,3.650832,1.112231
Sri Lanka,2005,28.6,1248.698185,0.229266,3.340156,0.669837,3.530024,1.074248
Sri Lanka,2010,21.9,2799.648876,0.232103,3.356974,0.663689,3.466103,1.016419
Sri Lanka,2015,14.7,3843.780672,0.236051,3.366906,0.664022,3.446117,0.967582
Sri Lanka,2016,14.2,3886.291502,0.237027,3.368449,0.664479,3.444301,0.958813
Singapore,2000,11.4,23852.32703,0.270336,3.663336,0.88601,3.894925,0.491085
Singapore,2005,10,29961.26328,0.272575,3.684884,0.890601,3.494622,0.468378
Singapore,2010,8.2,47236.96023,0.272571,3.714978,0.905922,3.417825,0.471783
Singapore,2015,7.6,55646.61875,0.273445,3.729619,0.912167,3.42572,0.483159
Singapore,2016,7.3,56724.17039,0.273738,3.730091,0.913157,3.42996,0.487148
Thailand,2000,11.6,2007.736363,0.224566,3.29135,0.903439,3.09092,0.941828
Thailand,2005,8.5,2894.061896,0.22795,3.31082,0.917915,3.128016,0.888716
Thailand,2010,7.3,5076.342992,0.230749,3.316719,0.789129,3.10254,0.866558
Thailand,2015,7.2,5840.046948,0.233556,3.324273,0.81183,3.085864,0.892095
Thailand,2016,7.6,5978.611454,0.23421,3.326769,0.826159,3.085204,0.901656
Turkey,2000,4.2,4316.548908,0.215803,3.762951,1.340213,3.852894,0.735791
Turkey,2005,3,7384.251628,0.217583,3.90803,1.306033,3.883745,0.737853
Turkey,2010,2.5,10672.38925,0.219057,3.900487,1.46536,3.77003,0.770705
Turkey,2015,2.3,10948.72461,0.220578,3.910515,1.523937,3.725807,0.77714
Turkey,2016,2.3,10820.63384,0.220914,3.911946,1.531682,3.721385,0.777758
United Kingdom,2000,7.7,27987.75116,0.250877,4.637154,1.678271,4.240516,1.600301
United Kingdom,2005,6.9,41803.89138,0.252526,4.635823,1.74398,4.085993,1.727773
United Kingdom,2010,7,39079.84261,0.252417,4.668295,1.75812,4.126807,1.908482
United Kingdom,2015,7.8,44472.1517,0.25837,4.656279,1.698364,4.124435,1.914363
United Kingdom,2016,7.6,40539.91961,0.260519,4.653107,1.682097,4.122485,1.907524
United States of America,2000,10,36334.90878,0.340512,6.971563,2.869426,4.766992,2.038026
United States of America,2005,10.7,44114.74778,0.341427,6.965249,2.998771,4.791258,2.070251
United States of America,2010,11.7,48466.82338,0.33739,6.704455,2.977144,4.761551,1.998437
United States of America,2015,12.9,56803.47243,0.335243,6.650662,3.262674,4.795954,2.018738
United States of America,2016,13.7,57904.20196,0.334578,6.642099,3.353142,4.813114,2.028263
Zimbabwe,2000,20,563.0577411,0.162836,3.100264,0.746757,3.069722,1.488815
Zimbabwe,2005,22,476.5553236,0.159742,3.086927,0.716474,3.102648,1.480095
Zimbabwe,2010,35,948.3318545,0.155312,3.083865,0.756577,3.105459,1.514951
Zimbabwe,2015,30.7,1445.071062,0.156465,3.098687,0.771802,3.15571,1.514751
Zimbabwe,2016,28.7,1464.583529,0.157111,3.104294,0.772275,3.174134,1.513269
,,,,,,,,
